function,module,impl_block
handle_set,verilib-cli::commands::api,
init_required_msg,verilib-cli::constants,
generate_structure_files,verilib-cli::commands::create,
has_uncommitted_changes,verilib-cli::commands::reclone,
test_verify_fails_without_stubs_json,verilib-cli::error_handling_tests,
test_specify_check_only_passes_when_all_certified,verilib-cli::specify_tests,
run_probe_specify,verilib-cli::commands::specify,
StorageType::from_env,verilib-cli::storage::types,
test_verify_check_only_detects_failures,verilib-cli::verify_tests,
parse_github_link,verilib-cli::structure::utils,
test_verify_no_probe_loads_proofs_from_file,verilib-cli::verify_tests,
handle_api,verilib-cli::commands::api,
test_atomize_no_probe_loads_atoms_from_file,verilib-cli::atomize_tests,
check_all_certified,verilib-cli::commands::specify,
handle_init,verilib-cli::commands::init,
prompt_language,verilib-cli::commands::deploy,
handle_get,verilib-cli::commands::api,
save_config,verilib-cli::commands::init,
update_stubs_specification_status,verilib-cli::commands::specify,
CredentialStorageFactory::create,verilib-cli::CredentialStorageFactory<Result<Box<dyn::storage::factory,
test_atomize_check_only_fails_when_stubs_mismatch,verilib-cli::atomize_tests,
collect_deploy_info_with_path,verilib-cli::commands::deploy,
ensure_image_pulled,verilib-cli::structure::executor,
prompt_summary,verilib-cli::commands::deploy,
resolve_file_path,verilib-cli::commands::api,
detect_language_in_path,verilib-cli::commands::deploy,
test_specify_no_probe_fails_without_specs_json,verilib-cli::specify_tests,
handle_atomize,verilib-cli::commands::atomize,
test_create_creates_config_and_verilib_dir,verilib-cli::create_tests,
decode_name,verilib-cli::structure::certs,
normalize_git_url,verilib-cli::commands::init,
check_for_failures,verilib-cli::commands::verify,
format_value,verilib-cli::structure::frontmatter,
print_verification_summary,verilib-cli::commands::verify,
get_existing_certs,verilib-cli::structure::certs,
FileStorage::get_password,verilib-cli::storage::file,
has_md_files,verilib-cli::commands::atomize,
deserialize_layouts,verilib-cli::download::types,
test_verify_check_only_passes_when_no_failures,verilib-cli::verify_tests,
handle_verify,verilib-cli::commands::verify,
create_cert,verilib-cli::structure::certs,
read_stubs_json,verilib-cli::commands::specify,
lookup_code_name,verilib-cli::commands::atomize,
handle_specify,verilib-cli::commands::specify,
detect_git_url,verilib-cli::commands::init,
prompt_git_url,verilib-cli::commands::init,
read_tracked_csv,verilib-cli::commands::create,
FileStorage::new,verilib-cli::storage::file,
handle_auth,verilib-cli::commands::auth,
test_atomize_enriches_stubs_json,verilib-cli::atomize_tests,
handle_deploy,verilib-cli::commands::deploy,
display_menu,verilib-cli::structure::utils,
collect_deploy_info,verilib-cli::commands::deploy,
has_unpushed_commits,verilib-cli::commands::reclone,
get_stored_api_key,verilib-cli::commands::status,
handle_create_file,verilib-cli::commands::api,
create_gitignore,verilib-cli::structure::config,
build_tree,verilib-cli::commands::deploy,
default_docker_image,verilib-cli::structure::config,
CommandConfig::default,verilib-cli::structure::executor,
CredentialStorageFactory::create_with_type,verilib-cli::storage::factory,
test_create_tracks_all_functions_without_functions_to_track_csv,verilib-cli::create_tests,
prompt_description,verilib-cli::commands::deploy,
ExecutionMode::default,verilib-cli::structure::executor,
build_layouts,verilib-cli::commands::deploy,
find_uncertified_functions,verilib-cli::commands::specify,
load_specs_from_file,verilib-cli::commands::specify,
generate_functions_to_track_csv,verilib-cli::commands::create,
handle_status,verilib-cli::commands::status,
run_probe_verify,verilib-cli::commands::verify,
auth_required_msg,verilib-cli::constants,
test_verify_no_probe_fails_without_proofs_json,verilib-cli::verify_tests,
build_line_index,verilib-cli::commands::atomize,
find_files_with_extension,verilib-cli::commands::deploy,
download_repo,verilib-cli::download::client,
test_atomize_no_probe_fails_without_atoms_json,verilib-cli::atomize_tests,
